row,quantile,popn_slope,sample_mean_slope,slopeCI_bootstrap_coverage,slopeCI_evd_max_coverage,slopeCI_binomial_max_coverage,mean_bootstrapCI_slope_std,mean_evd_maxCI_slope_std,mean_binomial_maxCI_slope_std,mean_evd_lb_slope_std,mean_evd_ub_slope_std,popn_intercept,sample_mean_intercept,interceptCI_bootstrap_coverage,interceptCI_evd_max_coverage,interceptCI_binomial_max_coverage,mean_bootstrapCI_intercept_std,mean_evd_maxCI_std,mean_binomial_maxCI_std,mean_evd_lb_std,mean_evd_ub_std,Rsquared,1-QR_residualVAR/YVAR,R1
1,0.025,1,1.003690321,0.905,0.868,0.868,0.085029483,0.097434891,0.097434891,0.083553636,-0.050195277,-19.59963985,-19.57428812,0.875,0.825,0.825,3.832870586,3.775621875,3.775621875,3.240698212,-1.943361741,0.898585204,0.892172455,0.547007665
2,0.05,1,1.001706413,0.943,0.978,0.919,0.076951601,0.147661325,0.088639959,0.146365193,-0.050245881,-16.44853627,-16.3935082,0.933,0.973,0.906,3.416250268,5.724252417,3.435116206,5.673431562,-1.942522949,0.898585204,0.89481417,0.563222087
3,0.1,1,0.999980303,0.951,0.95,0.901,0.062944737,0.072331703,0.059026949,0.068707725,-0.040970125,-12.81551566,-12.66731356,0.936,0.924,0.865,2.756269279,2.80408144,2.290149788,2.661048274,-1.588678029,0.898585204,0.896327798,0.588928632
4,0.2,1,1.000798566,0.943,0.942,0.942,0.051682799,0.054624427,0.054624427,0.049780739,-0.038415392,-8.416212336,-8.361568887,0.931,0.908,0.908,2.242191859,2.118462399,2.118462399,1.933143254,-1.486602621,0.898585204,0.897439517,0.625778969
5,0.25,1,1.001760552,0.954,0.959,0.946,0.049456154,0.053529555,0.049202588,0.048247177,-0.040465337,-6.744897502,-6.750080459,0.935,0.93,0.9,2.134683139,2.074227796,1.906990698,1.868127922,-1.569287061,0.898585204,0.897668854,0.640256913
6,0.3,1,1.000868832,0.955,0.941,0.941,0.047942948,0.048549282,0.048549282,0.043165392,-0.037925777,-5.244005127,-5.239992987,0.949,0.91,0.91,2.066752391,1.881813137,1.881813137,1.672433572,-1.471899197,0.898585204,0.897789067,0.653224155
7,0.4,1,1.002260722,0.964,0.96,0.95,0.04584251,0.048841345,0.046075124,0.042091438,-0.04025805,-2.533471031,-2.569196515,0.949,0.928,0.907,1.981698282,1.894274195,1.787059367,1.633863816,-1.561800778,0.898585204,0.897969153,0.675731989
8,0.5,1,1.003827225,0.957,0.95,0.95,0.044912401,0.046869228,0.046869228,0.039875617,-0.039153901,0,-0.061980487,0.948,0.922,0.922,1.965929181,1.81881388,1.81881388,1.548020855,-1.518307682,0.898585204,0.897948518,0.694157141
9,0.6,1,1.002940058,0.96,0.953,0.946,0.045730331,0.048452593,0.045656756,0.039194582,-0.042904544,2.533471031,2.464161345,0.95,0.933,0.907,2.011624554,1.879510768,1.770226708,1.519082801,-1.665649586,0.898585204,0.897967395,0.707798927
10,0.7,1,1.002152453,0.967,0.953,0.953,0.047992066,0.049037949,0.049037949,0.03818954,-0.043207552,5.244005127,5.24352365,0.949,0.919,0.919,2.109797512,1.902214508,1.902214508,1.483468018,-1.67367363,0.898585204,0.897815337,0.716331793
11,0.75,1,1.000743719,0.955,0.953,0.938,0.049656412,0.054475293,0.049711802,0.040401066,-0.049864964,6.744897502,6.786016553,0.954,0.935,0.916,2.176278616,2.113034415,1.927694462,1.567114134,-1.934360632,0.898585204,0.897669694,0.71822583
12,0.8,1,1.000502897,0.957,0.945,0.945,0.052192574,0.055463292,0.055463292,0.039037409,-0.051330323,8.416212336,8.45248753,0.947,0.915,0.915,2.280737363,2.151384711,2.151384711,1.511425939,-1.991635556,0.898585204,0.897441793,0.717968157
13,0.9,1,1.000455471,0.96,0.946,0.901,0.063048024,0.071451684,0.058465278,0.041872972,-0.067519752,12.81551566,12.85302117,0.929,0.926,0.863,2.757775248,2.767441669,2.265559219,1.620503925,-2.615087341,0.898585204,0.896493407,0.708989458
14,0.95,1,0.999419556,0.938,0.977,0.922,0.075907657,0.145993806,0.087972344,0.050764181,-0.144203133,16.44853627,16.52380926,0.924,0.974,0.895,3.390343285,5.658866495,3.412918144,1.967859087,-5.58899194,0.898585204,0.894526259,0.697351652
15,0.975,1,0.999310848,0.914,0.86,0.86,0.083142585,0.096809749,0.096809749,0.049339397,-0.081922749,19.59963985,19.56684819,0.888,0.822,0.822,3.807960388,3.752601227,3.752601227,1.910907504,-3.175754372,0.898585204,0.892262147,0.687679376
