row,quantile,popn_slope,sample_mean_slope,slopeCI_bootstrap_coverage,slopeCI_evd_max_coverage,slopeCI_binomial_max_coverage,mean_bootstrapCI_slope_std,mean_evd_maxCI_slope_std,mean_binomial_maxCI_slope_std,mean_evd_lb_slope_std,mean_evd_ub_slope_std,popn_intercept,sample_mean_intercept,interceptCI_bootstrap_coverage,interceptCI_evd_max_coverage,interceptCI_binomial_max_coverage,mean_bootstrapCI_intercept_std,mean_evd_maxCI_std,mean_binomial_maxCI_std,mean_evd_lb_std,mean_evd_ub_std,Rsquared,1-QR_residualVAR/YVAR,R1
1,0.025,1,1.014500311,0.858,0.643,0.764,0.09758838,0.071189066,0.092089199,0.015853191,-0.059761306,-19.59963985,-19.72662351,0.805,0.58,0.704,4.085101354,2.766007032,3.582541198,0.607286393,-2.32844769,0.899635529,0.886527382,0.574334685
2,0.05,1,1.001840777,0.938,0.88,0.916,0.095697068,0.107880686,0.116823416,0.090362427,-0.056680263,-16.44853627,-16.19567654,0.894,0.838,0.877,4.262698976,4.19990644,4.545936399,3.513104922,-2.205351731,0.899635529,0.893095109,0.580161913
3,0.1,1,1.0040051,0.954,0.982,0.933,0.088004183,0.161783698,0.09998074,0.158971463,-0.059691733,-12.81551566,-12.83630966,0.924,0.972,0.897,3.840897306,6.300165228,3.88098376,6.191221397,-2.318277172,0.899635529,0.895468967,0.600282266
4,0.2,1,1.001440293,0.955,0.958,0.922,0.074852933,0.085486593,0.07134787,0.079136541,-0.052884605,-8.416212336,-8.467380835,0.941,0.925,0.889,3.230552132,3.316029156,2.768170182,3.074116434,-2.047816149,0.899635529,0.89730179,0.631500337
5,0.25,1,1.001585192,0.955,0.955,0.955,0.070900322,0.079814908,0.079814908,0.072007151,-0.052896347,-6.744897502,-6.80720528,0.946,0.938,0.938,3.063480302,3.094647987,3.094647987,2.793823936,-2.049193952,0.899635529,0.897941093,0.644585325
6,0.3,1,1.000639138,0.954,0.956,0.956,0.069361612,0.076724847,0.076724847,0.068976216,-0.055270999,-5.244005127,-5.363764322,0.948,0.937,0.937,2.981767199,2.974180479,2.974180479,2.671057263,-2.146851425,0.899635529,0.898052103,0.656655645
7,0.4,1,0.999916627,0.959,0.943,0.958,0.066954572,0.06764571,0.07259157,0.057784676,-0.052573795,-2.533471031,-2.60801388,0.944,0.901,0.923,2.895106554,2.623522457,2.818030532,2.239533951,-2.044774217,0.899635529,0.898304635,0.677926976
8,0.5,1,0.998844584,0.964,0.971,0.971,0.066231917,0.075146772,0.075146772,0.063123253,-0.061707479,0,-0.003765007,0.939,0.935,0.935,2.881912667,2.919517954,2.919517954,2.455051528,-2.394757861,0.899635529,0.898405949,0.69594279
9,0.6,1,0.999272157,0.958,0.946,0.959,0.066878132,0.066935428,0.071881603,0.05271412,-0.056661001,2.533471031,2.47790105,0.949,0.918,0.935,2.891402714,2.597855014,2.790642436,2.04440397,-2.198649524,0.899635529,0.898316157,0.710404712
10,0.7,1,0.997690074,0.967,0.961,0.961,0.069544583,0.074794408,0.074794408,0.053776459,-0.067499517,5.244005127,5.188507308,0.946,0.94,0.94,2.978522584,2.905243564,2.905243564,2.086178668,-2.624610062,0.899635529,0.897930863,0.71924554
11,0.75,1,0.99851714,0.962,0.955,0.955,0.07135972,0.077520748,0.077520748,0.053473856,-0.06956455,6.744897502,6.660301135,0.955,0.931,0.931,3.071200857,3.005789105,3.005789105,2.077388988,-2.696390563,0.899635529,0.897807809,0.721024849
12,0.8,1,0.998466352,0.961,0.956,0.913,0.076021623,0.084686578,0.070003977,0.052502217,-0.079597043,8.416212336,8.244644978,0.952,0.925,0.873,3.244921043,3.279975001,2.714160118,2.040635382,-3.083070498,0.899635529,0.897372215,0.721343683
13,0.9,1,0.997133518,0.95,0.984,0.921,0.089429502,0.161140166,0.099345813,0.060059547,-0.158805129,12.81551566,12.63823953,0.931,0.973,0.893,3.859473155,6.263080499,3.855209585,2.324375345,-6.173902815,0.899635529,0.895121238,0.714917565
14,0.95,1,0.999308447,0.924,0.873,0.901,0.097362206,0.106975946,0.114650346,0.055906698,-0.090839354,16.44853627,15.97613276,0.892,0.831,0.871,4.282800141,4.15926247,4.455617976,2.167509448,-3.532799388,0.899635529,0.892520351,0.706306428
15,0.975,1,0.98659672,0.849,0.658,0.765,0.10065276,0.072968245,0.09324801,0.058624909,-0.019407462,19.59963985,19.37748051,0.793,0.585,0.703,4.155404138,2.838072228,3.621714435,2.288648098,-0.743010381,0.899635529,0.886762364,0.704149296
