"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28"
"1",0.025,0.354407191233042,0.380921619728972,0.8025,0.658,0.751,0.0579488685539987,0.0547734342898682,0.0657968282053276,0.0273239752968594,-0.0337923603254371,-272.097617856665,-264.693419326661,0.8155,0.66,0.7175,0.5635,0.6215,0.5655,0.623,41.4532825524526,60.380162214717,27.4541406148856,64.4048147678162,12.1845806202357,72.155118730562,0.879740948218004,0.568911254696889
"2",0.05,0.378414166261789,0.393747475895017,0.8835,0.856,0.8825,0.0555216503760469,0.0764192229560338,0.08069327157799,0.0673365873118618,-0.0334153525472204,-228.043167982657,-224.577623024756,0.9055,0.886,0.9035,0.7555,0.7875,0.7575,0.79,43.0628490823075,91.8922405801066,42.0811242754288,93.7595502698031,12.1845806202357,128.038021287011,0.879985944414408,0.578690443860089
"3",0.1,0.4050419997433,0.413736656322309,0.9225,0.972,0.9115,0.0506450471073468,0.109183190608169,0.0660385985625309,0.107750829414619,-0.0363499369655506,-177.950474894873,-177.215326679391,0.9395,0.986,0.9745,0.9075,0.9035,0.9095,0.9035,37.714853982865,136.619818821209,62.0077530987815,97.5242751798282,12.1845806202357,279.766851823206,0.87972697514134,0.600363390436091
"4",0.2,0.437034783928454,0.442365085928174,0.9365,0.922,0.8855,0.0441643645241477,0.0527589183455645,0.0439079604647195,0.0492760989566081,-0.0314842821250498,-116.631296573022,-116.001864496406,0.9525,0.9775,0.9545,0.9025,0.869,0.903,0.87,31.5526155921347,71.5419661656954,43.9400820776425,58.0734589410498,12.1845806202357,310.862882661273,0.884467967909434,0.63198761211971
"5",0.25,0.450765048008635,0.454074982839901,0.939,0.93,0.93,0.0420629029079147,0.047472729482201,0.047472729482201,0.0432664454618495,-0.0313290356022265,-93.0270170565285,-92.6910659981776,0.953,0.9695,0.9715,0.8925,0.898,0.893,0.898,30.3319524928157,63.3991604145445,39.8194868674345,64.1879771635904,12.1845806202357,303.676088960644,0.88739197844077,0.644635586848479
"6",0.3,0.462593945543417,0.464340384163471,0.9475,0.9155,0.9155,0.0409629362055618,0.0446871001942403,0.0446871001942403,0.0403274540729981,-0.031726861748215,-71.8893541017887,-71.9555095925204,0.9575,0.9715,0.976,0.9015,0.913,0.902,0.913,29.0052199018282,58.0530741699651,37.3831932873735,59.1905253532546,12.1845806202357,289.792939575317,0.891004869762287,0.656286817221553
"7",0.4,0.482434339700369,0.483838319687527,0.9515,0.9045,0.917,0.0394513857642762,0.0390193795095475,0.0415041335621606,0.0335290811736607,-0.0300499423782325,-34.6756743905273,-34.2001468760241,0.9555,0.9575,0.955,0.89,0.887,0.8905,0.8875,27.7262735047965,52.8331118289882,35.1942896062429,52.0556802980547,12.1845806202357,299.62310945896,0.895027862542593,0.67729240786658
"8",0.5,0.501498942398281,0.50103225536804,0.9465,0.935,0.935,0.0390504816845772,0.0427204708896302,0.0427204708896302,0.0353768595872913,-0.0356888845920615,0.786470275312052,0.638670123965062,0.952,0.964,0.969,0.884,0.8985,0.884,0.8985,27.4226640598261,51.1912825037549,33.9967747430882,51.8914971239118,12.1845806202357,249.040388743192,0.896048845682372,0.696221380928211
"9",0.6,0.519778172805918,0.519577582117354,0.945,0.8985,0.915,0.0396039541994376,0.0386640496106357,0.041358108939799,0.0298779924284586,-0.0330698275029521,36.3216521130238,36.158709107161,0.9465,0.958,0.9595,0.892,0.8875,0.8925,0.8885,27.9251920758068,50.694119867839,35.6875667343894,53.5046004730897,12.1845806202357,321.547421102262,0.89569004994447,0.714521131797463
"10",0.7,0.540326179416751,0.53809118719005,0.9465,0.9235,0.9235,0.0410677996814255,0.0450400266146542,0.0450400266146542,0.0321756177217618,-0.0404509774240967,73.9294772718818,74.0356365219042,0.948,0.9595,0.967,0.882,0.8945,0.883,0.895,29.0621299371231,54.9009160981893,38.0429225742095,56.0064582977686,12.1845806202357,314.778401824122,0.890732094790821,0.733456779167784
"11",0.75,0.551257713109358,0.548749843251385,0.949,0.9315,0.9315,0.0419947697068596,0.0476688022418181,0.0476688022418181,0.0316738838735979,-0.043355125581018,95.0794382169457,94.7644372856427,0.95,0.9605,0.963,0.8835,0.8875,0.8835,0.8875,30.2538254638504,54.5010515952875,39.0514347464049,55.3002441282582,12.1845806202357,282.701535529344,0.886991149691672,0.743386146665422
"12",0.8,0.564223760578969,0.560697231563898,0.9475,0.926,0.892,0.0439214218006951,0.0527245672003896,0.043624721984154,0.0315743646998356,-0.049421263865887,118.292912122717,118.05762182516,0.955,0.965,0.948,0.894,0.858,0.895,0.859,31.5041841485567,56.8414938982776,41.5542855932471,51.920579290662,12.1845806202357,251.421964375987,0.882785192656478,0.754262412180191
"13",0.9,0.59695585064349,0.588581590597406,0.9195,0.9695,0.9195,0.0505798548451062,0.108689175954446,0.0666735944333488,0.0363739749660453,-0.107255725217695,179.923091634795,178.800360728325,0.943,0.9735,0.9725,0.9025,0.902,0.9045,0.9025,37.6533226024334,78.4446211131765,61.7903637466937,77.2275599809112,12.1845806202357,279.058831985426,0.878220593293207,0.78057972145653
"14",0.95,0.623690838856883,0.607834748103846,0.877,0.854,0.884,0.0551603461451013,0.0776571758003026,0.0819165863611737,0.0339949501101572,-0.0682553129797988,230.255181973221,226.615038798967,0.9035,0.8785,0.912,0.751,0.774,0.7525,0.776,42.7237070546007,56.5286931570513,41.4803462196846,64.3310987157494,12.1845806202357,125.974075271129,0.877515995775382,0.798674791950376
"15",0.975,0.647698791720139,0.619399258927263,0.779,0.6615,0.747,0.057514705978511,0.0542290008305074,0.0646996723956841,0.035575506959796,-0.024921790988585,274.592616996482,267.605803781354,0.812,0.735,0.8115,0.558,0.6185,0.562,0.623,40.8678625479563,45.8078748493858,28.8993024847203,56.7685265810096,12.1845806202357,68.3858288051213,0.879702867654699,0.812993015159227
