"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",0.025,-0.966125596100087,-0.95801591923882,0.951,0.953,0.955,0.144191086937548,0.168699260002992,0.156257449379812,0.159745583016388,-0.111252072018081,-352.652229845621,-351.849800404259,0.947,0.963,0.939,0.67,0.646,0.968,0.952,28.3192538039044,34.4001809930343,13.2390554594544,30.117583504543,-0.0969533971231431,-80.9692118696216,0.284642709471418,0.147994081927842,9.98114270183723,9.989025425734,10.0135418464706,10.0321938979883,0.963,0.977,0.972,2.24753911424399,3.03558839188957,2.81152606967961,2.87452749013585,-2.00174495187523
"2",0.05,-0.735671207453219,-0.729852680299563,0.955,0.963,0.961,0.110992323459146,0.127915465417939,0.123768128886893,0.120209655634422,-0.0953696792583585,-295.174405159471,-294.84816308152,0.954,0.966,0.954,0.632,0.62,0.974,0.971,21.6529718923807,25.7086446818022,9.54905064787955,23.6866433912886,-0.0969533971231431,-81.643453035308,0.284377607751209,0.115278996820112,9.98114270183723,9.9871254705498,9.96282220267383,9.96859857756611,0.952,0.984,0.979,1.71145476180525,2.3020002188818,2.22738616522277,2.16331717728801,-1.71631569852245
"3",0.1,-0.463540021427121,-0.460231314156473,0.964,0.968,0.969,0.0902792250066791,0.100991314171029,0.0990576808237867,0.0945960349360747,-0.0818560960524921,-229.715750635929,-229.341234759812,0.963,0.978,0.974,0.607,0.593,0.982,0.978,17.4461044585582,20.1669746530214,7.39114555729722,19.0613208562201,-0.0969533971231431,-81.9102146215551,0.288349168009884,0.0811407475115747,9.98114270183723,9.98635655508377,9.94009210789314,9.93227094454001,0.953,0.994,0.993,1.35855718875925,1.81753521844188,1.78284256794635,1.70234318579804,-1.47328640961176
"4",0.2,-0.130371881654193,-0.129299165943424,0.947,0.969,0.969,0.0750953485686248,0.0820280088222088,0.0820280088222088,0.0761961661160813,-0.0705599258650242,-150.678306198302,-150.635771328272,0.944,0.958,0.958,0.602,0.598,0.965,0.965,14.4833449820601,16.268858994872,6.04843574278997,16.2464943040136,-0.0969533971231431,-81.9799539220892,0.302803692490332,0.0605247318132287,9.98114270183723,9.98412347016856,9.97952926394033,9.98484378918608,0.952,0.984,0.984,1.12750038596285,1.47616529547563,1.47616529547563,1.37117620599041,-1.26978907909377
"5",0.25,-0.00363923595382418,-0.00290826916475599,0.952,0.963,0.963,0.0704971956484775,0.0766130014495964,0.0766130014495964,0.0704219199982491,-0.0670869594595331,-120.33375912304,-120.158969298441,0.944,0.962,0.962,0.584,0.582,0.959,0.958,13.7019901442642,15.0801489664843,5.70704022917315,15.056273983471,-0.0969533971231431,-81.7922675525956,0.310193593052825,0.0603890584129948,9.98114270183723,9.98690435919445,9.96509889783157,9.95134015922558,0.952,0.981,0.981,1.07166267260483,1.37882746001644,1.37882746001644,1.26726660029676,-1.20744597545836
"6",0.3,0.108300388476876,0.108782707116254,0.954,0.964,0.964,0.0682836866812311,0.0751618604510363,0.0751618604510363,0.0695583883870949,-0.0657890576756287,-93.3266370116059,-93.3815213406957,0.946,0.958,0.959,0.571,0.577,0.962,0.962,13.1910646108596,14.8448890747072,5.5009208813789,14.8538560208081,-0.0969533971231431,-81.9374555497058,0.316687255547334,0.0637453375611777,9.98114270183723,9.98655204704963,9.96223138011558,9.97391960775727,0.935,0.982,0.982,1.02888814547363,1.35268226078035,1.35268226078035,1.25210671515088,-1.18402862382927
"7",0.4,0.310318261144179,0.310351532871647,0.953,0.969,0.968,0.0653549319831475,0.0709778672835028,0.0698401267923906,0.0649603873781824,-0.0642278380487701,-45.0910340649301,-45.0101224435301,0.939,0.957,0.944,0.587,0.58,0.953,0.95,12.676761699921,13.8783732868112,5.19795989825047,13.459674887949,-0.0969533971231431,-81.7911176691391,0.325669030032149,0.0770498526198138,9.98114270183723,9.98753555834759,9.98253631619465,9.97531801030353,0.944,0.98,0.979,0.990600489613285,1.27739203505125,1.25691127184181,1.16907724654472,-1.15581286236029
"8",0.5,0.501462959723255,0.501780694805474,0.955,0.973,0.969,0.0648636733878065,0.0713501781934675,0.0692171271584474,0.0645571977430316,-0.0650180881711403,0.641607747029165,0.551919781481341,0.953,0.961,0.953,0.564,0.56,0.968,0.964,12.5841985116788,13.7912854618965,5.17137880130432,13.362995801433,-0.0969533971231431,-81.8985003615171,0.328850882988005,0.0971457660504328,9.98114270183723,9.98698819320649,9.98185842442766,9.9844842686979,0.944,0.982,0.98,0.978417139856937,1.28411252973205,1.24571828408929,1.16172011772083,-1.17021289685306
"9",0.6,0.693869880176819,0.693458295072361,0.947,0.961,0.959,0.0658932688598251,0.0717468345746617,0.0705309218787369,0.064551610904658,-0.0657987316244263,46.1753217817694,46.1167228892929,0.948,0.961,0.961,0.577,0.576,0.964,0.959,12.728947379886,13.8321448877615,5.22660820123126,13.8090438045178,-0.0969533971231431,-82.1183611994237,0.325753257296264,0.123361250054026,9.98114270183723,9.98957515981514,9.99525214014579,9.99773180140937,0.95,0.987,0.986,0.995333678659005,1.29137706027349,1.26947506669992,1.16187840482571,-1.18425748223515
"10",0.7,0.897647896381077,0.896298447640333,0.946,0.963,0.963,0.0684655089897015,0.0756693164557258,0.0756693164557258,0.0662142438231448,-0.0700322294398811,94.6469713015315,94.5161707305105,0.952,0.963,0.963,0.562,0.566,0.972,0.972,13.2670924309837,14.2474912477586,5.51094816596663,14.2547444792444,-0.0969533971231431,-81.953684221739,0.31582618575402,0.155797429632765,9.98114270183723,9.98923727005254,10.0322714608126,10.0313535961086,0.957,0.993,0.993,1.04143198235095,1.36199596061303,1.36199596061303,1.19171533242349,-1.26068322282602
