"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34"
"1",0.025,0.998993906380309,0.999382692123297,0.9078,0.3838,0.5802,0.0509838902753658,0.0177873849711691,0.0285994944668356,0.0046228200763369,-0.0131645648948324,-19.4345556708131,-18.2879216669928,0.8272,0.2746,0.4588,4.73979266650866,1.21443459418296,2.08250122771329,0.329795083989319,-0.884639510193661,0.998131757685152,0.997645321921532,0.96403149515391,1.00107493731373,1.00100608362486,0.9178,0.389,0.5776,0.0438032532231955,0.0146765171352943,0.0236046921932028,0.00379488047414855,-0.0108816366611459
"2",0.05,0.999261781815401,1.00012587668391,0.9416,0.7946,0.8506,0.0474651273330398,0.0436784673764345,0.047603081366026,0.0373857355514165,-0.019077935360629,-16.3551836724376,-15.8506936716471,0.8996,0.7138,0.7924,4.60932134246694,3.35370820503806,3.82695557179517,2.89856451551153,-1.48726824813469,0.998131757685152,0.997845879318556,0.96165454409718,1.00070827739528,0.999710622624303,0.946,0.7924,0.8472,0.0404433919120532,0.0360510654411307,0.0393043935855125,0.0308654289098558,-0.015728091053767
"3",0.1,0.999744249688398,0.999964060912629,0.96,0.9758,0.9104,0.0424052996231583,0.0746712924306386,0.0445196818485694,0.0734790699783249,-0.0250743712524766,-12.7737113019415,-12.5264610266382,0.937,0.9754,0.87,4.21304661204579,8.89981827258978,3.66556288475697,8.79871195031176,-2.78250400956775,0.998131757685152,0.997975691604158,0.959492643858903,1.00002332698654,0.999653938671301,0.9606,0.976,0.9062,0.0358238733089471,0.0616784411954894,0.0367654081947847,0.0606849875676502,-0.0206927077559539
"4",0.2,0.999377876055144,0.999778065384117,0.9632,0.9448,0.9448,0.0368246085916152,0.0388476605438205,0.0388476605438205,0.035902628349052,-0.0230537447088093,-8.34835541908779,-8.22976026660292,0.9534,0.911,0.911,3.66081556892557,3.25611937456905,3.25611937456905,3.00918801504274,-1.9871702615155,0.998131757685152,0.99804776725781,0.957555859238731,1.000138090447,0.999755818527889,0.967,0.9418,0.9418,0.0309404997486267,0.0320560777166594,0.0320560777166594,0.0296350900199014,-0.0190146472963376
"5",0.25,0.99933268322951,0.999653673453529,0.965,0.9378,0.9514,0.0352617572525262,0.0360933571259504,0.0378798062526566,0.0327714740280446,-0.0234896117504736,-6.66995292389306,-6.59162182656864,0.9604,0.9054,0.9302,3.50038747517135,3.00105062334765,3.25652138220495,2.734504040549,-1.98333184970296,0.998131757685152,0.998065097610637,0.957028677475126,1.00007452831799,0.999786424459486,0.971,0.941,0.9536,0.0296056523752348,0.0297903654998935,0.031264906709818,0.0270449714749396,-0.0193965071381962
"6",0.3,0.999391300584523,0.999610637855013,0.9666,0.948,0.948,0.0341401809058215,0.03491727972852,0.03491727972852,0.0309641186803507,-0.024481150528788,-5.16017133937267,-5.13325819959275,0.9592,0.9234,0.9234,3.38786994228361,2.98782244624228,2.98782244624228,2.65483543644074,-2.136049981902,0.998131757685152,0.998072717363118,0.956675585945218,1.00019184562697,0.999867729413937,0.9664,0.947,0.947,0.0286380639199203,0.0288094744018753,0.0288094744018753,0.0255424644192486,-0.0202100912893331
"7",0.4,0.999713990134078,0.999955323741824,0.964,0.963,0.9512,0.0328660083527082,0.0357124637433936,0.0340082184788056,0.0309385233369988,-0.027345292696242,-2.49585460150312,-2.46230088961545,0.963,0.9442,0.9274,3.26179587785918,3.19586204145294,2.91591360507482,2.7578747233635,-2.49827977849833,0.998131757685152,0.998084452884795,0.956246683439861,0.999892832967628,0.999669221157829,0.9684,0.9644,0.954,0.0275415616886225,0.029474493955233,0.0280683830601731,0.0255381720783872,-0.0225652733087535
"8",0.5,0.999494599522364,0.999592405118811,0.965,0.9574,0.9238,0.0325013912739776,0.0341629294060354,0.0292255285729456,0.0280357652607627,-0.0280336174800131,0.0850078731383776,0.0642932867318751,0.9592,0.9482,0.8864,3.22897902475602,3.27859495925491,2.52037475241739,2.70746773482907,-2.70971918309019,0.998131757685152,0.998088280727038,0.956115943324211,1.00010825943,0.999943974879595,0.969,0.9588,0.9226,0.0271986568715358,0.0282068484359684,0.0241274046157953,0.0231404709193193,-0.0231592805629713
"9",0.6,0.999504036509231,0.999501849183005,0.9648,0.9634,0.9508,0.0329306106634574,0.0358197274055077,0.0341572664112255,0.0272627455580367,-0.0311562098367122,2.63466288150301,2.55932241638484,0.9628,0.948,0.9274,3.27217349386163,3.20140150825218,2.92390521767527,2.49013154950835,-2.77133695415315,0.998131757685152,0.998084371375567,0.956256407514621,1.00032536821667,1.00010257589098,0.968,0.9614,0.9488,0.0275139940805918,0.029582901037131,0.0282117967502802,0.0225210752070609,-0.0257188069135015
"10",0.7,0.999942526935462,0.999416250747057,0.9658,0.9454,0.9454,0.0341741471349164,0.0348813224655081,0.0348813224655081,0.0244284801817666,-0.03109013275671,5.31388129047648,5.26747003933578,0.9608,0.9186,0.9186,3.39034343368685,2.99083130229314,2.99083130229314,2.13334601609326,-2.67178118050483,0.998131757685152,0.998075501705196,0.956687505663712,1.00004580272876,1.00038450317423,0.9676,0.947,0.947,0.0285543362278443,0.0288015897528555,0.0288015897528555,0.0201963976214072,-0.025663878733405
