"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34"
"1",0.025,1.00008724168607,1.00027932689737,0.947,0.949,0.935,0.0139484540915122,0.0154585980033023,0.0142058133012992,0.0146686260725176,-0.0100660456553483,-19.5752634978002,-19.5815048532243,0.941,0.944,0.92,1.39120077646202,1.4518916863446,1.29024797332075,1.38277231756275,-0.948850540010612,0.998171138632357,0.998148780604856,0.961559386142835,0.999922635830742,0.999749653240469,0.952,0.955,0.937,0.0112042546533993,0.0126219644740318,0.0115956986342596,0.0119775622024019,-0.00821511481602357
"2",0.05,1.00032012091811,1.00031721019891,0.945,0.946,0.946,0.0108971619973958,0.0117972044737087,0.0113896087412739,0.0112172924571802,-0.00869244743343542,-16.4609945067636,-16.4344543796419,0.932,0.923,0.921,1.09824155558838,1.10324521711986,1.05318271494997,1.05139442073284,-0.817741507690405,0.998171138632357,0.99815813434661,0.959853094507794,0.999998920320191,0.999825680356518,0.953,0.957,0.951,0.00888513968577395,0.00963169479077777,0.00929892674707684,0.00915787736430422,-0.00709561603000265
"3",0.1,1.00035619245545,1.00018109029014,0.943,0.959,0.953,0.00888582839564309,0.00931319809127884,0.00914470777771497,0.00875898182918221,-0.00750599137187124,-12.8164695561576,-12.7928024185827,0.944,0.947,0.938,0.890847612229615,0.877593894836544,0.856192034519956,0.827531571691257,-0.710570844205226,0.998171138632357,0.998164106196454,0.958144985258731,0.999792740566032,0.999973775683645,0.954,0.961,0.963,0.00732976713748526,0.00760370517873184,0.00746568688874025,0.00715097788224611,-0.00612732897724236
"4",0.2,1.000462849953,1.00043715710119,0.953,0.953,0.953,0.00735393276277596,0.00762366617541781,0.00762366617541781,0.00704402858353551,-0.00654147617281068,-8.42608091716405,-8.41436232760527,0.934,0.933,0.933,0.736341399695277,0.717804585536878,0.717804585536878,0.664410615116699,-0.619070106346163,0.998171138632357,0.998167281209696,0.956588209258837,0.99961835022098,0.999647061552967,0.954,0.954,0.954,0.00599766359895414,0.00622406818467439,0.00622406818467439,0.00575001690292071,-0.0053401053428727
"5",0.25,1.00040012565281,1.00042907822095,0.942,0.947,0.947,0.00702098569780019,0.0071658018049172,0.0071658018049172,0.0066400951565727,-0.0062138335945479,-6.74457384689992,-6.73970256316484,0.927,0.931,0.931,0.703526609581733,0.676979591273913,0.676979591273913,0.628331414022052,-0.589821252836302,0.998171138632357,0.998167945152912,0.956154286655852,0.999687781030823,0.99966008966429,0.946,0.947,0.947,0.00571638625936278,0.00584949983796419,0.00584949983796419,0.00542058422802029,-0.00507341184866542
"6",0.3,1.00027309795025,1.00028675920925,0.947,0.953,0.953,0.00672639474697149,0.00699754357251089,0.00699754357251089,0.00645458607226008,-0.00623166645801149,-5.23676276381933,-5.23801073563518,0.947,0.949,0.949,0.680541875794136,0.664875047405638,0.664875047405638,0.614455351196155,-0.594115105710638,0.998171138632357,0.998168489961155,0.955844367201219,0.999752342863397,0.99978331535973,0.95,0.954,0.954,0.00552050472303818,0.0057133797227837,0.0057133797227837,0.00527020054613428,-0.00508786667849496
"7",0.4,0.999884476917828,0.999875912351628,0.945,0.952,0.946,0.00639635706343167,0.00680025476991521,0.00668165159881662,0.00617175654815632,-0.00608938447556713,-2.50434326272849,-2.50494068643112,0.946,0.94,0.936,0.646080041958312,0.650895643599098,0.632998184987106,0.592934030466822,-0.583779217531654,0.998171138632357,0.998169020739817,0.955480692682013,1.00008725967541,1.00007295873383,0.947,0.957,0.953,0.00522765588589927,0.00555179996929604,0.00545490837414257,0.00503858912229732,-0.00497193113419465
"8",0.5,0.999846904222306,0.999798417802336,0.952,0.966,0.958,0.00637400569324181,0.00677382706455267,0.00656830859989829,0.00616411979111946,-0.00615228911189631,0.0315719997788648,0.0302096034870395,0.948,0.951,0.938,0.641413532761664,0.656234097446514,0.624466030924756,0.598481937739877,-0.597416808561874,0.998171138632357,0.998169068914682,0.955365305988296,1.00006410265517,1.0001151349474,0.946,0.956,0.953,0.00522605553792852,0.00553011472078572,0.00536207426753743,0.00503249676886508,-0.00502185231089098
"9",0.6,0.99978949362138,0.999767994332198,0.943,0.953,0.95,0.00649076322335383,0.00678637295341586,0.00666730427560639,0.00605486228301562,-0.00622412446010669,2.56446425352061,2.56131030876672,0.941,0.942,0.934,0.653599918916837,0.650772682484302,0.632735551128483,0.581921614929362,-0.598547679866483,0.998171138632357,0.998168862923564,0.955474995121952,1.00013582732882,1.00011132270343,0.945,0.948,0.947,0.00529828528819193,0.00553999891221609,0.00544269564805664,0.00494251009250073,-0.00508112376541703
"10",0.7,0.999777451392201,0.999743002032833,0.961,0.968,0.968,0.00670941350976003,0.00702978614065746,0.00702978614065746,0.00620120676515626,-0.00646074962789519,5.28450692404616,5.27839450684489,0.963,0.963,0.963,0.675341607988617,0.665628017185402,0.665628017185402,0.589504088154537,-0.612912244908846,0.998171138632357,0.998168334568887,0.955847423467377,1.00014709376801,1.00013806274982,0.956,0.955,0.955,0.00552410546047887,0.00573811092717415,0.00573811092717415,0.00506199152273172,-0.00527309238158342
